frameIndex,wireToEnqueueMs,enqueueToPresentedMs,wireToPresentedMs,interFrameMs
174,8.412,18.889,27.301,16.668
175,0.431,21.949,22.381,58.327
176,3.773,20.623,24.395,25.008
177,0.451,25.387,25.838,8.321
178,0.804,18.974,19.778,8.354
179,2.329,18.758,21.086,8.307
180,12.428,24.627,37.055,66.676
181,0.320,22.227,22.547,0.000
182,3.022,17.726,20.748,16.651
183,1.955,17.887,19.842,8.357
184,2.527,20.624,23.150,24.984
185,2.253,20.121,22.374,24.998
186,0.576,24.367,24.942,108.369
187,2.527,24.741,27.269,1008.303
188,2.508,18.826,21.334,1000.039
189,0.364,19.984,20.348,3591.615
190,3.175,24.512,27.687,16.670
191,0.290,18.182,18.472,0.000
192,3.440,22.204,25.644,16.661
193,1.461,19.970,21.431,8.341
194,0.300,18.541,18.841,8.327
195,0.326,24.209,24.535,16.707
196,0.591,21.969,22.560,16.665
197,0.526,17.843,18.369,8.335
198,1.210,21.669,22.879,16.665
199,3.113,17.828,20.941,16.712
200,1.451,19.228,20.679,16.601
201,0.608,21.091,21.699,16.657
202,2.618,21.493,24.112,16.671
203,4.156,23.988,28.144,41.692
204,2.542,24.521,27.063,16.645
205,2.617,25.109,27.726,16.654
206,7.401,24.924,32.325,41.660
207,0.732,25.544,26.276,8.361
208,9.072,19.331,28.403,33.320
209,7.250,23.347,30.597,33.325
210,8.674,21.626,30.300,16.702
211,11.093,25.639,36.732,41.687
212,4.968,23.873,28.841,24.959
213,9.566,23.266,32.831,41.678
214,8.152,17.766,25.918,24.995
215,7.468,21.197,28.665,1033.331
216,0.467,24.548,25.015,4591.665
217,4.427,17.695,22.122,25.022
218,3.425,20.761,24.186,16.659
219,2.668,18.987,21.655,16.630
220,2.668,17.898,20.566,16.664
221,4.989,23.992,28.981,25.048
222,3.438,17.646,21.083,8.330
223,6.672,23.011,29.682,24.961
224,5.391,23.665,29.056,16.676
225,4.711,23.440,28.151,16.736
226,3.863,25.241,29.104,16.604
227,4.982,23.168,28.150,16.688
228,4.036,22.120,26.156,16.651
229,17.226,25.604,42.830,33.372
230,4.429,23.342,27.771,16.602
231,4.966,25.588,30.554,25.046
232,6.038,23.477,29.515,16.652
233,5.096,23.127,28.223,16.658
234,4.783,23.725,28.507,16.677
235,3.979,24.853,28.832,16.662
236,5.078,22.829,27.907,16.650
237,4.169,22.454,26.622,16.659
238,5.569,21.731,27.300,25.002
239,0.566,24.488,25.054,466.678
240,0.431,25.540,25.971,183.326
241,3.614,21.732,25.345,16.654
242,0.216,24.037,24.253,8.355
243,0.685,25.188,25.873,16.664
244,0.457,25.422,25.878,566.647
245,2.466,18.757,21.223,1008.355
246,3.823,20.063,23.886,41.654
247,6.039,24.518,30.556,24.996
248,6.601,17.494,24.095,24.999
249,0.464,23.575,24.039,8.344
250,5.106,19.035,24.141,33.328
251,6.921,21.636,28.557,41.661
252,9.547,22.625,32.172,33.357
253,5.014,21.872,26.885,25.006
254,16.780,25.537,42.317,33.317
255,10.512,22.738,33.251,16.674
256,7.009,19.114,26.123,16.685
257,7.109,22.175,29.284,24.975
258,6.810,21.331,28.140,16.671
259,9.121,25.224,34.345,41.657
260,8.124,17.669,25.793,8.343
261,7.911,17.870,25.780,16.684
262,8.094,19.273,27.367,33.887
263,8.979,18.354,27.332,16.103
264,0.815,25.429,26.244,8.340
265,9.634,17.456,27.090,25.002
266,10.120,20.864,30.984,491.633
267,2.671,22.884,25.556,625.027
268,7.495,22.203,29.698,49.994
269,8.151,22.907,31.057,25.036
270,6.740,18.102,24.841,24.977
271,9.744,23.509,33.253,49.990
272,10.505,23.251,33.755,33.342
273,9.869,17.349,27.218,41.668
274,9.286,24.785,34.071,24.994
275,6.706,22.270,28.976,41.645
276,8.772,18.527,27.299,16.686
277,2.356,22.570,24.926,33.332
278,10.210,18.994,29.204,58.325
279,8.572,18.096,26.667,25.016
280,13.658,22.223,35.881,24.997
281,8.973,20.925,29.899,41.690
282,2.619,25.123,27.742,8.315
283,8.321,18.883,27.203,66.651
284,11.843,18.738,30.581,74.998
285,5.645,18.965,24.610,58.343
286,7.016,21.952,28.969,66.646
287,8.198,19.332,27.529,66.677
288,11.030,23.250,34.280,75.023
289,9.392,25.557,34.948,83.451
290,7.489,22.882,30.370,41.540
291,9.447,19.014,28.461,66.641
292,5.371,21.763,27.134,75.030
293,18.537,20.481,39.019,66.654
294,7.745,22.265,30.010,58.334
295,9.090,25.098,34.188,74.988
296,14.398,23.451,37.849,49.996
297,4.306,18.696,23.002,16.685
298,0.734,24.644,25.378,8.342
299,6.681,23.648,30.329,33.333
300,5.231,25.150,30.381,49.973
301,8.819,22.423,31.242,75.017
302,7.532,25.367,32.898,66.681
303,4.761,22.686,27.447,58.317
304,9.413,24.134,33.547,91.659
305,5.002,19.253,24.255,33.323
306,0.301,23.917,24.218,8.340
307,9.060,20.578,29.638,66.672
308,4.612,21.327,25.939,66.674
309,9.165,24.756,33.922,75.035
310,7.867,19.498,27.364,58.309
311,6.465,24.400,30.866,58.369
312,6.028,20.079,26.106,33.289
313,6.456,23.589,30.045,24.994
314,7.385,21.952,29.337,41.660
315,4.610,20.187,24.797,16.674
316,0.448,23.522,23.970,33.333
317,8.817,19.401,28.218,41.670
318,8.863,25.437,34.300,49.984
319,5.662,17.909,23.571,8.354
320,8.611,17.361,25.972,50.023
321,6.701,17.976,24.677,49.967
322,15.741,17.962,33.703,50.010
323,0.424,23.208,23.632,16.652
324,7.351,19.010,26.361,50.026
325,6.607,20.732,27.338,24.994
326,7.115,21.866,28.981,41.645
327,5.214,17.915,23.128,16.680
328,5.572,18.048,23.620,58.336
329,6.236,23.111,29.347,66.670
330,7.991,20.890,28.882,66.662
331,7.077,25.143,32.221,66.674
332,7.832,18.698,26.529,8.319
333,7.667,17.730,25.397,49.992
334,8.171,17.737,25.908,16.702
335,6.255,22.003,28.258,58.310
336,7.463,20.008,27.471,66.663
337,5.019,17.499,22.518,58.327
338,5.263,24.863,30.126,75.003
339,7.931,18.535,26.466,66.673
340,8.872,18.948,27.820,75.003
341,6.959,21.253,28.212,66.655
342,8.417,19.668,28.085,58.349
343,8.501,19.815,28.315,66.645
344,9.372,18.310,27.681,66.669
345,6.749,24.065,30.814,66.691
346,10.388,17.462,27.850,66.668
347,5.782,22.729,28.510,66.654
348,8.977,17.715,26.692,66.667
349,8.938,25.430,34.368,75.045
350,14.940,19.266,34.206,66.615
351,7.066,24.117,31.183,75.040
352,8.444,25.525,33.968,58.316
353,6.726,18.050,24.776,58.340
354,8.449,21.577,30.026,66.633
355,6.306,22.178,28.484,66.682
356,6.039,23.261,29.299,74.994
357,5.546,20.147,25.693,50.037
358,9.498,22.320,31.818,24.949
359,5.381,22.524,27.905,41.678
360,6.503,18.109,24.612,16.655
361,6.136,18.079,24.215,41.683
362,7.153,21.348,28.501,33.315
363,8.824,17.584,26.408,41.690
