frameIndex,wireToEnqueueMs,enqueueToPresentedMs,wireToPresentedMs,interFrameMs
0,99.808,4.074,103.882,
1,58.410,23.937,82.347,90.943
2,51.650,16.886,68.536,99.998
3,53.577,19.552,73.129,116.667
4,61.523,17.161,78.684,191.681
5,108.608,21.355,129.964,149.978
6,56.643,23.647,80.290,124.992
7,56.312,17.234,73.546,108.348
8,59.296,19.997,79.293,141.660
9,99.514,17.101,116.615,141.668
10,57.043,18.974,76.017,125.006
11,61.893,18.948,80.841,116.660
12,65.947,16.593,82.541,158.320
13,76.486,16.333,92.820,141.666
14,119.966,18.753,138.719,175.015
15,151.481,15.958,167.439,174.983
16,59.349,23.910,83.258,133.342
17,57.146,23.367,80.513,116.685
18,61.807,21.076,82.882,116.633
19,69.005,21.360,90.364,183.329
20,63.726,23.954,87.680,133.348
21,69.019,16.790,85.809,116.672
22,69.951,24.098,94.049,133.319
23,72.434,17.995,90.429,141.679
24,71.060,19.345,90.405,133.336
25,70.180,19.973,90.153,133.334
26,70.854,19.926,90.779,133.306
27,73.481,21.802,95.282,133.345
28,81.645,21.598,103.243,133.351
29,80.463,18.737,99.200,133.311
30,72.922,16.218,89.141,125.011
31,66.536,21.376,87.912,125.005
32,65.821,21.025,86.845,124.981
33,65.313,17.856,83.169,125.022
34,72.279,17.966,90.245,133.316
35,75.408,17.619,93.027,141.670
36,73.506,18.658,92.164,133.327
37,78.081,16.162,94.243,133.358
38,71.682,21.955,93.637,133.311
39,69.534,21.680,91.214,124.998
40,69.077,23.700,92.776,133.357
41,71.400,18.668,90.067,124.992
42,73.985,21.111,95.096,133.325
43,95.379,23.927,119.307,158.326
44,77.471,20.979,98.450,141.662
45,97.700,19.874,117.574,158.343
46,106.570,21.663,128.232,233.339
47,108.371,20.166,128.537,191.664
48,101.034,15.910,116.944,166.675
49,95.101,20.411,115.512,158.344
50,107.217,21.598,128.815,166.671
51,98.767,22.347,121.114,158.307
52,103.065,22.187,125.252,208.325
53,152.275,20.667,172.942,241.712
54,219.553,21.549,241.102,291.657
55,122.320,23.618,145.938,216.643
56,178.799,22.630,201.429,241.657
57,137.585,23.639,161.224,225.008
58,99.892,18.281,118.173,158.348
59,138.579,18.406,156.985,225.008
60,129.346,21.465,150.812,208.316
61,183.590,20.543,204.133,250.012
62,112.284,19.561,131.846,200.000
63,115.003,23.434,138.437,183.313
64,130.308,20.027,150.335,200.021
65,126.832,19.391,146.223,191.634
66,185.684,16.293,201.977,250.019
67,112.991,16.780,129.771,199.993
68,108.982,20.757,129.739,175.037
69,101.598,16.958,118.556,199.975
70,110.043,23.612,133.655,183.321
71,92.838,17.005,109.843,150.035
72,94.121,15.948,110.069,183.315
73,83.420,23.385,106.805,158.306
74,103.972,21.945,125.917,166.696
75,83.500,18.919,102.419,191.678
76,77.602,17.859,95.461,149.975
