frameIndex,wireToEnqueueMs,enqueueToPresentedMs,wireToPresentedMs,interFrameMs
77,79.977,21.929,101.907,149.995
78,141.777,18.862,160.639,200.010
79,72.556,16.866,89.423,150.037
80,70.041,19.297,89.338,141.610
81,149.175,16.760,165.934,216.668
82,81.100,19.798,100.899,158.341
83,82.328,16.466,98.795,133.356
84,78.493,19.001,97.494,133.335
85,77.888,18.223,96.111,133.331
86,83.982,21.326,105.308,141.681
87,82.284,20.658,102.942,133.283
88,153.191,23.239,176.429,208.374
89,53.930,19.248,73.178,49.998
90,78.091,18.588,96.679,141.637
91,85.303,21.556,106.859,141.689
92,172.399,18.577,190.976,224.990
93,77.207,19.852,97.059,149.987
94,80.345,19.599,99.945,133.360
95,82.613,21.035,103.647,133.310
96,76.734,20.484,97.218,125.003
97,74.984,22.193,97.178,133.346
98,82.109,20.591,102.701,133.313
99,61.091,16.533,77.624,108.365
100,62.688,22.133,84.822,141.638
101,62.746,18.805,81.551,125.003
102,69.336,22.328,91.665,141.677
103,69.355,16.977,86.332,124.984
104,64.451,16.333,80.784,125.002
105,65.689,22.253,87.941,133.328
106,71.641,22.802,94.443,133.348
107,69.957,23.751,93.707,125.048
108,79.833,20.850,100.683,141.618
109,77.682,15.926,93.608,133.318
110,79.538,21.761,101.299,141.710
111,87.386,18.466,105.852,141.652
112,117.446,23.040,140.487,183.304
113,74.958,20.856,95.813,141.667
114,79.530,19.247,98.777,133.340
115,74.251,19.960,94.211,166.676
116,83.555,17.020,100.574,141.655
117,73.031,19.029,92.060,133.345
118,135.625,16.356,151.981,191.686
119,58.107,16.514,74.621,58.305
120,69.001,22.607,91.608,141.680
121,69.239,22.431,91.669,125.013
122,68.865,19.464,88.329,125.005
123,73.754,19.973,93.727,133.341
124,75.576,17.105,92.680,124.984
125,68.415,16.887,85.301,124.977
126,67.196,16.156,83.351,125.033
127,66.964,20.688,87.653,141.637
128,72.788,21.344,94.131,133.349
129,71.916,16.349,88.265,125.010
130,73.415,20.970,94.385,141.649
131,78.210,18.777,96.987,133.348
132,73.232,16.072,89.304,125.014
133,71.602,21.610,93.212,133.335
134,79.789,17.045,96.835,133.332
135,66.073,20.552,86.625,133.312
136,70.317,18.073,88.389,124.985
137,70.890,16.055,86.945,125.008
138,72.622,21.357,93.979,133.357
139,74.355,16.095,90.450,133.392
140,72.685,21.088,93.773,133.240
141,70.690,23.087,93.777,124.987
142,78.829,19.717,98.546,133.385
143,86.586,19.574,106.159,149.992
144,79.991,17.266,97.257,133.332
145,71.182,18.488,89.669,124.976
146,83.436,18.195,101.631,141.679
147,142.998,23.261,166.258,191.665
148,116.319,18.782,135.100,175.013
149,183.216,20.853,204.069,249.972
150,88.014,20.160,108.174,150.020
151,81.014,19.461,100.475,133.338
152,81.811,21.959,103.770,141.664
153,68.855,23.638,92.493,124.997
154,80.039,18.984,99.022,133.316
155,71.322,22.799,94.121,133.340
156,71.032,22.645,93.677,124.979
157,73.071,19.819,92.890,125.114
158,75.941,16.230,92.171,124.906
159,80.631,17.831,98.462,133.328
160,159.162,18.325,177.487,216.669
161,57.499,19.134,76.634,58.389
162,103.416,24.103,127.519,166.647
163,77.953,16.923,94.876,133.299
164,129.962,22.818,152.780,208.335
165,82.454,18.638,101.092,141.744
166,76.919,18.634,95.554,133.313
167,169.386,18.383,187.770,224.949
168,76.358,16.986,93.344,75.045
169,73.901,16.732,90.633,141.689
170,65.188,15.899,81.087,124.953
171,124.530,22.941,147.471,191.629
172,88.401,20.703,109.105,158.423
173,98.974,19.784,118.758,158.274
174,158.975,22.298,181.273,199.982
175,93.114,22.454,115.569,174.979
176,85.118,18.060,103.178,150.075
177,139.276,17.804,157.080,199.964
178,87.956,16.833,104.789,158.297
179,94.368,17.988,112.356,166.687
180,163.679,22.862,186.542,233.315
181,113.718,19.476,133.193,191.702
182,94.964,23.390,118.354,166.636
183,111.339,21.294,132.634,200.069
184,102.140,16.786,118.926,99.935
185,103.326,16.397,119.723,166.690
186,182.537,17.955,200.492,249.984
187,99.104,24.098,123.202,191.719
188,94.144,15.868,110.012,149.966
189,112.896,21.042,133.939,191.655
190,113.490,16.648,130.138,183.335
191,119.760,22.499,142.260,376099.980
